plant_curie,plant_name,disease_curie
ncbitaxon:3311,Ginkgo biloba,MONDO:0015140
ncbitaxon:3311,Ginkgo biloba,MONDO:0004975
ncbitaxon:3311,Ginkgo biloba,MONDO:0004648
ncbitaxon:13427,Cichorium intybus,MONDO:0017853
ncbitaxon:452416,Origanum onites,MONDO:0005292
ncbitaxon:223870,Artemisia princeps,MONDO:0016419
ncbitaxon:223870,Artemisia princeps,MONDO:0021100
ncbitaxon:136217,Curcuma longa,MONDO:0005654
ncbitaxon:136217,Curcuma longa,MONDO:0005554
ncbitaxon:136217,Curcuma longa,MONDO:0003014
ncbitaxon:37495,Euphorbia pulcherrima,MONDO:0005113
ncbitaxon:231486,Hippeastrum vittatum,MONDO:0021100
ncbitaxon:231486,Hippeastrum vittatum,MONDO:0016419
ncbitaxon:231486,Hippeastrum vittatum,MONDO:0017885
ncbitaxon:231486,Hippeastrum vittatum,MONDO:0005401
ncbitaxon:231486,Hippeastrum vittatum,MONDO:0018492
ncbitaxon:106335,Hibiscus syriacus,MONDO:0008903
ncbitaxon:106335,Hibiscus syriacus,MONDO:0021117
ncbitaxon:172200,Terminalia arjuna,MONDO:0002329
ncbitaxon:49657,Smilax china,MONDO:0005070
ncbitaxon:200737,Pottia intermedia,MONDO:0005593
ncbitaxon:555479,Nigella sativa,MONDO:0005249
ncbitaxon:516069,Anisomeles indica,MONDO:0005070
ncbitaxon:4588,Thinopyrum elongatum,MONDO:0001997
ncbitaxon:82528,Crocus sativus,MONDO:0005070
ncbitaxon:79772,Verbena officinalis,MONDO:0002041
ncbitaxon:3483,Cannabis sativa,MONDO:0005090
ncbitaxon:4054,Panax ginseng,MONDO:0004979
ncbitaxon:4054,Panax ginseng,MONDO:0010940
ncbitaxon:261617,Pterachaenia stewartii,MONDO:0006642
ncbitaxon:4722,Serenoa repens,MONDO:0003105
ncbitaxon:516070,Clinopodium chinense,MONDO:0001357
ncbitaxon:61567,Rhabdoweisia crenulata,MONDO:0005070
ncbitaxon:61567,Rhabdoweisia crenulata,MONDO:0016419
ncbitaxon:61567,Rhabdoweisia crenulata,MONDO:0021100
ncbitaxon:82528,Crocus sativus,MONDO:0020759
ncbitaxon:82528,Crocus sativus,MONDO:0010826
ncbitaxon:78630,Betula platyphylla,MONDO:0007704
ncbitaxon:78630,Betula platyphylla,MONDO:0005178
ncbitaxon:78630,Betula platyphylla,MONDO:0005578
ncbitaxon:161756,Isatis tinctoria,MONDO:0005989
ncbitaxon:555479,Nigella sativa,MONDO:0008171
